name,start_year,end_year,league,total_major_divisions,total_minor_divisions
1903 MLB Season,1903,1903,MLB,2,0
1904 MLB Season,1904,1904,MLB,2,0
1905 MLB Season,1905,1905,MLB,2,0
1906 MLB Season,1906,1906,MLB,2,0
1907 MLB Season,1907,1907,MLB,2,0
1908 MLB Season,1908,1908,MLB,2,0
1909 MLB Season,1909,1909,MLB,2,0
1910 MLB Season,1910,1910,MLB,2,0
1911 MLB Season,1911,1911,MLB,2,0
1912 MLB Season,1912,1912,MLB,2,0
1913 MLB Season,1913,1913,MLB,2,0
1914 MLB Season,1914,1914,MLB,2,0
1915 MLB Season,1915,1915,MLB,2,0
1916 MLB Season,1916,1916,MLB,2,0
1917 MLB Season,1917,1917,MLB,2,0
1918 MLB Season,1918,1918,MLB,2,0
1919 MLB Season,1919,1919,MLB,2,0
1920 MLB Season,1920,1920,MLB,2,0
1921 MLB Season,1921,1921,MLB,2,0
1922 MLB Season,1922,1922,MLB,2,0
1923 MLB Season,1923,1923,MLB,2,0
1924 MLB Season,1924,1924,MLB,2,0
1925 MLB Season,1925,1925,MLB,2,0
1926 MLB Season,1926,1926,MLB,2,0
1927 MLB Season,1927,1927,MLB,2,0
1928 MLB Season,1928,1928,MLB,2,0
1929 MLB Season,1929,1929,MLB,2,0
1930 MLB Season,1930,1930,MLB,2,0
1931 MLB Season,1931,1931,MLB,2,0
1932 MLB Season,1932,1932,MLB,2,0
1933 MLB Season,1933,1933,MLB,2,0
1934 MLB Season,1934,1934,MLB,2,0
1935 MLB Season,1935,1935,MLB,2,0
1936 MLB Season,1936,1936,MLB,2,0
1937 MLB Season,1937,1937,MLB,2,0
1938 MLB Season,1938,1938,MLB,2,0
1939 MLB Season,1939,1939,MLB,2,0
1940 MLB Season,1940,1940,MLB,2,0
1941 MLB Season,1941,1941,MLB,2,0
1942 MLB Season,1942,1942,MLB,2,0
1943 MLB Season,1943,1943,MLB,2,0
1944 MLB Season,1944,1944,MLB,2,0
1945 MLB Season,1945,1945,MLB,2,0
1946 MLB Season,1946,1946,MLB,2,0
1947 MLB Season,1947,1947,MLB,2,0
1948 MLB Season,1948,1948,MLB,2,0
1949 MLB Season,1949,1949,MLB,2,0
1950 MLB Season,1950,1950,MLB,2,0
1951 MLB Season,1951,1951,MLB,2,0
1952 MLB Season,1952,1952,MLB,2,0
1953 MLB Season,1953,1953,MLB,2,0
1954 MLB Season,1954,1954,MLB,2,0
1955 MLB Season,1955,1955,MLB,2,0
1956 MLB Season,1956,1956,MLB,2,0
1957 MLB Season,1957,1957,MLB,2,0
1958 MLB Season,1958,1958,MLB,2,0
1959 MLB Season,1959,1959,MLB,2,0
1960 MLB Season,1960,1960,MLB,2,0
1961 MLB Season,1961,1961,MLB,2,0
1962 MLB Season,1962,1962,MLB,2,0
1963 MLB Season,1963,1963,MLB,2,0
1964 MLB Season,1964,1964,MLB,2,0
1965 MLB Season,1965,1965,MLB,2,0
1966 MLB Season,1966,1966,MLB,2,0
1967 MLB Season,1967,1967,MLB,2,0
1968 MLB Season,1968,1968,MLB,2,0
1969 MLB Season,1969,1969,MLB,2,4
1970 MLB Season,1970,1970,MLB,2,4
1971 MLB Season,1971,1971,MLB,2,4
1972 MLB Season,1972,1972,MLB,2,4
1973 MLB Season,1973,1973,MLB,2,4
1974 MLB Season,1974,1974,MLB,2,4
1975 MLB Season,1975,1975,MLB,2,4
1976 MLB Season,1976,1976,MLB,2,4
1977 MLB Season,1977,1977,MLB,2,4
1978 MLB Season,1978,1978,MLB,2,4
1979 MLB Season,1979,1979,MLB,2,4
1980 MLB Season,1980,1980,MLB,2,4
1981 MLB Season (first half),1981,1981,MLB,2,4
1981 MLB Season (second half),1981,1981,MLB,2,4
1982 MLB Season,1982,1982,MLB,2,4
1983 MLB Season,1983,1983,MLB,2,4
1984 MLB Season,1984,1984,MLB,2,4
1985 MLB Season,1985,1985,MLB,2,4
1986 MLB Season,1986,1986,MLB,2,4
1987 MLB Season,1987,1987,MLB,2,4
1988 MLB Season,1988,1988,MLB,2,4
1989 MLB Season,1989,1989,MLB,2,4
1990 MLB Season,1990,1990,MLB,2,4
1991 MLB Season,1991,1991,MLB,2,4
1992 MLB Season,1992,1992,MLB,2,4
1993 MLB Season,1993,1993,MLB,2,4
1994 MLB Season,1994,1994,MLB,2,6
1995 MLB Season,1995,1995,MLB,2,6
1996 MLB Season,1996,1996,MLB,2,6
1997 MLB Season,1997,1997,MLB,2,6
1998 MLB Season,1998,1998,MLB,2,6
1999 MLB Season,1999,1999,MLB,2,6
2000 MLB Season,2000,2000,MLB,2,6
2001 MLB Season,2001,2001,MLB,2,6
2002 MLB Season,2002,2002,MLB,2,6
2003 MLB Season,2003,2003,MLB,2,6
2004 MLB Season,2004,2004,MLB,2,6
2005 MLB Season,2005,2005,MLB,2,6
2006 MLB Season,2006,2006,MLB,2,6
2007 MLB Season,2007,2007,MLB,2,6
2008 MLB Season,2008,2008,MLB,2,6
2009 MLB Season,2009,2009,MLB,2,6
2010 MLB Season,2010,2010,MLB,2,6
2011 MLB Season,2011,2011,MLB,2,6
2012 MLB Season,2012,2012,MLB,2,6
2013 MLB Season,2013,2013,MLB,2,6
2014 MLB Season,2014,2014,MLB,2,6
2015 MLB Season,2015,2015,MLB,2,6
2016 MLB Season,2016,2016,MLB,2,6
2017 MLB Season,2017,2017,MLB,2,6
2018 MLB Season,2018,2018,MLB,2,6
2019 MLB Season,2019,2019,MLB,2,6
2020 MLB Season,2020,2020,MLB,2,6
2021 MLB Season,2021,2021,MLB,2,6
2022 MLB Season,2022,2022,MLB,2,6