season,metro,team_name,league,conference,division,league_position,conference_position,division_position
1998,Tampa Bay,Tampa Bay Devil Rays,MLB,AL,AL East,,LAST,LAST
1999,Tampa Bay,Tampa Bay Devil Rays,MLB,AL,AL East,,,LAST
2000,Tampa Bay,Tampa Bay Devil Rays,MLB,AL,AL East,,,LAST
2001,Tampa Bay,Tampa Bay Devil Rays,MLB,AL,AL East,LAST_TIED,LAST,LAST
2002,Tampa Bay,Tampa Bay Devil Rays,MLB,AL,AL East,LAST_TIED,LAST_TIED,LAST
2003,Tampa Bay,Tampa Bay Devil Rays,MLB,AL,AL East,,,LAST
2004,Tampa Bay,Tampa Bay Devil Rays,MLB,AL,AL East,,,
2005,Tampa Bay,Tampa Bay Devil Rays,MLB,AL,AL East,,,LAST
2006,Tampa Bay,Tampa Bay Devil Rays,MLB,AL,AL East,LAST,LAST,LAST
2007,Tampa Bay,Tampa Bay Devil Rays,MLB,AL,AL East,LAST,LAST,LAST
2008,Tampa Bay,Tampa Bay Rays,MLB,AL,AL East,,,FIRST
2009,Tampa Bay,Tampa Bay Rays,MLB,AL,AL East,,,
2010,Tampa Bay,Tampa Bay Rays,MLB,AL,AL East,,FIRST,FIRST
2011,Tampa Bay,Tampa Bay Rays,MLB,AL,AL East,,,
2012,Tampa Bay,Tampa Bay Rays,MLB,AL,AL East,,,
2013,Tampa Bay,Tampa Bay Rays,MLB,AL,AL East,,,
2014,Tampa Bay,Tampa Bay Rays,MLB,AL,AL East,,,
2015,Tampa Bay,Tampa Bay Rays,MLB,AL,AL East,,,
2016,Tampa Bay,Tampa Bay Rays,MLB,AL,AL East,,,LAST
2017,Tampa Bay,Tampa Bay Rays,MLB,AL,AL East,,,
2018,Tampa Bay,Tampa Bay Rays,MLB,AL,AL East,,,
2019,Tampa Bay,Tampa Bay Rays,MLB,AL,AL East,,,
2020,Tampa Bay,Tampa Bay Rays,MLB,AL,AL East,,FIRST,FIRST
2021,Tampa Bay,Tampa Bay Rays,MLB,AL,AL East,,FIRST,FIRST
2022,Tampa Bay,Tampa Bay Rays,MLB,AL,AL East,,,